batch_id,production_date,plant_id,machine_id,glass_type,thickness_mm,furnace_temperature_c,cooling_time_sec,pressure_bar,line_speed_mps,raw_material_quality,operator_shift,energy_consumption_kwh,produced_units,defect_rate,defect_flag,packing_delay_min,shipment_status
20,2024-12-18,Plant_A,M4,Laminated,11.37,1543.68,42.38,2.36,2.02,0.98,Night,1377.34,955,0.0,0,39.6,On-Time
21,2024-01-10,Plant_B,M3,Tempered,10.17,1568.19,51.77,1.37,9.07,0.97,Day,1133.1,685,0.041,1,20.95,Delayed
22,2024-07-22,Plant_B,M2,Float,9.26,1626.96,110.74,4.55,8.02,0.89,Day,584.14,217,0.025,1,53.91,On-Time
23,2024-11-18,Plant_B,M1,Float,8.06,1508.74,92.27,3.61,3.02,0.91,Night,737.25,464,0.0,0,44.79,Delayed
24,2024-04-01,Plant_A,M4,Tempered,8.5,1439.16,106.43,3.63,6.11,0.73,Night,867.72,570,0.034,1,14.64,On-Time
25,2024-04-30,Plant_A,M1,Tempered,11.73,1543.93,86.8,4.18,5.52,0.87,Day,992.52,434,0.0,0,43.35,Delayed
26,2024-11-28,Plant_A,M4,Float,4.81,1488.02,32.19,3.58,2.59,0.98,Night,1453.93,950,0.0,0,22.21,On-Time
27,2024-03-12,Plant_B,M3,Float,2.15,1493.79,117.0,4.85,8.68,0.79,Day,885.1,510,0.0,0,19.02,Delayed
28,2024-03-09,Plant_B,M3,Tempered,3.69,1537.02,80.11,4.74,7.26,0.87,Night,597.18,699,0.0,0,59.4,Delayed
29,2024-05-27,Plant_A,M1,Tempered,3.4,1552.87,96.67,3.79,7.32,0.81,Day,793.59,715,0.0,0,48.61,On-Time
30,2024-03-29,Plant_A,M3,Float,10.67,1502.57,112.19,3.05,5.51,0.94,Day,1149.96,791,0.0,0,47.75,On-Time
31,2024-04-27,Plant_B,M3,Float,10.9,1442.37,38.46,3.31,1.32,0.84,Day,1042.64,686,0.0,0,35.45,Delayed
32,2024-04-08,Plant_A,M2,Laminated,2.31,1424.96,33.36,4.29,4.24,0.74,Night,1022.24,322,0.079,1,12.95,Delayed
33,2024-08-13,Plant_B,M4,Laminated,8.23,1619.45,87.37,3.9,9.78,0.85,Day,822.96,920,0.082,1,16.25,Delayed
34,2024-11-19,Plant_B,M4,Laminated,6.39,1592.17,37.06,1.1,9.66,0.95,Night,1195.97,423,0.0,0,10.4,Delayed
35,2024-12-02,Plant_B,M2,Laminated,3.56,1515.89,94.31,3.64,3.52,0.99,Night,1237.9,900,0.0,0,36.7,Delayed
36,2024-05-29,Plant_A,M3,Tempered,6.2,1419.39,52.3,2.42,7.82,0.7,Night,616.07,316,0.014,1,2.44,Delayed
37,2024-03-10,Plant_A,M4,Float,10.55,1488.13,38.81,2.97,5.26,0.75,Night,933.85,404,0.0,0,36.95,Delayed
38,2024-02-03,Plant_A,M3,Laminated,8.35,1593.6,34.08,2.5,6.63,0.85,Night,1356.49,780,0.069,1,9.78,On-Time
39,2024-01-27,Plant_B,M2,Tempered,2.71,1489.88,82.72,4.76,6.18,0.82,Day,1143.29,440,0.0,0,32.74,Delayed
40,2024-06-11,Plant_B,M4,Float,11.41,1503.04,64.75,4.84,9.15,0.76,Night,569.36,815,0.0,0,1.09,Delayed
41,2024-06-26,Plant_A,M1,Tempered,2.94,1475.68,58.71,4.38,1.21,0.94,Night,781.85,470,0.0,0,41.8,On-Time
42,2024-10-31,Plant_A,M1,Laminated,8.29,1510.38,108.97,3.94,8.23,0.78,Day,677.44,420,0.0,0,48.41,On-Time
43,2024-06-25,Plant_A,M1,Tempered,11.91,1410.62,99.88,2.36,9.38,0.96,Night,928.99,465,0.0,0,45.27,On-Time
44,2024-12-31,Plant_A,M2,Float,3.03,1438.97,111.23,3.02,8.44,0.8,Day,1395.52,208,0.0,0,0.65,Delayed
45,2024-02-18,Plant_B,M4,Tempered,11.05,1486.45,115.51,4.8,6.16,0.89,Night,948.45,644,0.0,0,19.72,On-Time
46,2024-07-01,Plant_B,M2,Laminated,8.73,1469.35,97.71,4.17,8.11,0.73,Night,994.42,909,0.0,0,32.97,On-Time
47,2024-03-24,Plant_A,M1,Laminated,6.42,1484.55,40.54,1.57,7.85,0.89,Day,601.12,472,0.0,0,42.06,Delayed
48,2024-01-21,Plant_A,M4,Float,2.73,1540.19,103.97,3.82,1.73,0.73,Night,1486.64,345,0.044,1,22.24,Delayed
49,2024-07-28,Plant_A,M1,Laminated,10.13,1466.79,37.52,4.11,6.03,0.83,Night,1406.35,797,0.0,0,29.56,Delayed
50,2024-07-03,Plant_B,M2,Laminated,2.11,1568.01,72.18,1.23,2.07,0.74,Day,1149.21,511,0.0,0,35.0,On-Time
51,2024-11-02,Plant_A,M2,Float,11.62,1427.72,108.17,1.89,9.67,0.7,Day,1469.88,876,0.0,0,53.47,On-Time
52,2024-05-20,Plant_A,M3,Tempered,7.28,1457.79,119.37,1.3,5.98,0.99,Night,1023.1,601,0.0,0,41.74,Delayed
53,2024-03-03,Plant_B,M3,Tempered,6.55,1560.02,111.1,1.18,3.53,0.99,Day,1390.26,526,0.0,0,37.21,On-Time
54,2024-04-21,Plant_B,M1,Laminated,4.77,1590.8,46.93,2.85,4.18,0.88,Day,577.73,245,0.0,0,59.17,Delayed
55,2024-03-12,Plant_B,M1,Laminated,8.98,1404.36,103.24,3.74,2.46,0.97,Night,1322.54,724,0.095,1,43.54,On-Time
56,2024-11-19,Plant_A,M4,Tempered,8.13,1518.12,67.64,4.73,8.79,0.71,Day,526.37,999,0.0,0,48.63,On-Time
57,2024-01-16,Plant_B,M4,Laminated,11.87,1514.77,64.28,4.88,8.58,0.95,Night,968.69,705,0.0,0,16.4,On-Time
58,2024-06-14,Plant_A,M2,Tempered,2.56,1445.13,107.83,4.25,10.0,1.0,Day,1055.43,672,0.079,1,56.69,Delayed
59,2024-07-09,Plant_B,M2,Tempered,10.5,1484.35,41.62,4.82,6.46,0.77,Day,1171.7,232,0.066,1,21.49,Delayed
60,2024-11-21,Plant_A,M2,Laminated,3.14,1420.04,90.44,3.08,7.95,0.86,Night,1352.18,845,0.06,1,33.66,Delayed
61,2024-05-19,Plant_B,M2,Float,10.77,1448.98,32.59,4.02,6.58,0.91,Night,712.96,875,0.0,0,0.87,Delayed
62,2024-08-29,Plant_B,M2,Laminated,5.51,1486.55,83.09,2.57,4.94,0.97,Night,848.26,562,0.056,1,47.02,On-Time
63,2024-12-26,Plant_A,M2,Tempered,5.97,1549.08,115.46,1.59,9.34,0.85,Night,758.24,263,0.0,0,58.8,On-Time
64,2024-11-07,Plant_B,M3,Tempered,6.93,1516.54,59.59,3.53,3.16,0.72,Night,628.88,627,0.0,0,9.11,On-Time
65,2024-02-11,Plant_B,M2,Laminated,3.39,1444.94,61.11,4.59,5.27,0.9,Day,672.32,644,0.0,0,2.45,Delayed
66,2024-10-18,Plant_A,M2,Tempered,3.69,1524.38,55.07,1.71,1.8,0.74,Night,960.78,817,0.029,1,21.86,Delayed
67,2024-09-30,Plant_A,M3,Float,7.03,1494.9,101.95,3.51,1.74,0.96,Day,1420.87,472,0.0,0,16.61,Delayed
68,2024-10-02,Plant_A,M4,Float,10.06,1502.11,97.34,1.74,2.88,0.81,Day,984.52,662,0.0,0,22.13,Delayed
69,2024-11-03,Plant_A,M4,Laminated,6.63,1542.57,110.57,3.05,5.79,0.73,Day,947.41,267,0.0,0,14.55,Delayed
70,2024-12-24,Plant_B,M1,Float,4.69,1450.6,63.96,1.08,3.9,0.76,Night,827.5,752,0.021,1,53.43,On-Time
71,2024-03-27,Plant_B,M2,Tempered,7.94,1552.77,74.86,1.35,5.83,0.88,Day,1245.44,433,0.0,0,7.65,Delayed
72,2024-07-17,Plant_A,M2,Tempered,4.84,1532.68,62.68,3.58,6.14,0.81,Night,1486.52,539,0.0,0,14.23,Delayed
73,2024-01-19,Plant_A,M1,Laminated,3.02,1477.09,44.46,1.75,3.57,0.75,Day,1396.77,827,0.0,0,31.47,On-Time
74,2024-01-02,Plant_A,M4,Tempered,6.1,1468.7,118.41,1.45,4.58,0.99,Day,1365.51,903,0.0,0,15.47,Delayed
75,2024-12-03,Plant_A,M1,Laminated,3.71,1526.42,80.11,3.29,3.52,0.93,Night,687.04,375,0.0,0,25.53,On-Time
76,2024-03-25,Plant_A,M1,Float,7.08,1510.38,51.82,1.46,6.5,0.79,Day,1081.24,740,0.0,0,28.87,Delayed
77,2024-09-06,Plant_B,M3,Float,7.33,1492.57,42.1,1.25,9.91,0.8,Night,1309.87,212,0.0,0,40.89,Delayed
78,2024-12-02,Plant_A,M3,Laminated,9.6,1479.63,83.61,2.89,4.71,0.8,Night,1429.53,829,0.0,0,57.9,Delayed
79,2024-05-06,Plant_A,M4,Float,3.24,1508.49,46.31,1.27,7.67,0.87,Night,1341.83,293,0.0,0,47.72,Delayed
80,2024-03-25,Plant_B,M4,Tempered,4.02,1504.47,44.73,1.66,8.33,0.9,Night,1023.07,790,0.042,1,52.63,Delayed
81,2024-11-22,Plant_A,M3,Float,5.92,1487.49,63.92,2.85,3.71,0.92,Day,1002.72,472,0.0,0,53.97,On-Time
82,2024-09-15,Plant_B,M4,Float,5.84,1565.05,78.92,4.63,6.62,0.74,Night,1439.83,939,0.0,0,20.09,Delayed
83,2024-12-30,Plant_A,M1,Float,3.39,1525.47,78.01,4.58,8.1,0.75,Night,811.72,319,0.032,1,44.64,Delayed
84,2024-04-25,Plant_B,M3,Float,2.34,1562.37,81.29,4.05,8.89,0.8,Night,1321.26,754,0.0,0,50.79,Delayed
85,2024-05-31,Plant_A,M1,Laminated,3.27,1564.35,43.49,1.92,7.5,0.92,Night,1141.15,664,0.072,1,32.56,On-Time
86,2024-09-09,Plant_B,M3,Laminated,4.52,1477.77,61.11,1.73,9.18,0.88,Day,900.85,927,0.0,0,56.84,On-Time
87,2024-10-03,Plant_A,M1,Laminated,3.53,1509.03,85.03,1.07,8.85,0.98,Night,1065.13,768,0.0,0,55.35,On-Time
88,2024-05-01,Plant_A,M3,Float,9.07,1632.18,43.73,3.31,6.46,0.83,Day,1236.44,412,0.0,0,55.53,On-Time
89,2024-11-02,Plant_A,M2,Float,6.51,1626.93,65.91,1.22,4.02,0.94,Day,504.63,562,0.0,0,23.89,Delayed
90,2024-11-19,Plant_B,M1,Float,7.37,1526.2,112.79,2.39,4.12,0.92,Night,952.22,267,0.0,0,27.15,On-Time
91,2024-07-09,Plant_B,M3,Laminated,3.41,1499.67,67.7,4.66,4.26,0.87,Night,1132.26,281,0.0,0,39.81,Delayed
92,2024-10-29,Plant_B,M3,Laminated,3.78,1434.04,116.5,1.59,4.73,0.73,Night,1496.87,710,0.0,0,35.72,On-Time
93,2024-11-06,Plant_B,M4,Tempered,2.67,1460.87,110.82,1.82,2.72,0.71,Night,972.07,891,0.061,1,3.94,Delayed
94,2024-10-09,Plant_B,M2,Tempered,9.76,1533.71,70.8,3.1,4.97,0.82,Day,1059.64,604,0.0,0,10.92,On-Time
95,2024-10-21,Plant_A,M4,Float,10.62,1492.51,54.37,3.58,4.68,0.71,Day,656.15,346,0.0,0,39.54,Delayed
96,2024-09-20,Plant_A,M1,Tempered,2.27,1526.39,49.98,1.92,7.05,0.71,Day,604.11,311,0.082,1,10.71,On-Time
97,2024-04-11,Plant_A,M1,Tempered,8.53,1482.47,51.89,3.89,8.7,0.95,Night,897.18,609,0.0,0,12.3,On-Time
98,2024-07-14,Plant_A,M2,Float,4.93,1488.54,110.67,1.05,1.77,0.76,Day,526.53,711,0.0,0,34.98,Delayed
99,2024-10-19,Plant_A,M3,Tempered,6.21,1437.92,64.17,3.36,3.41,0.89,Night,909.41,677,0.06,1,26.17,Delayed
100,2024-11-05,Plant_B,M4,Laminated,4.94,1459.18,115.36,4.05,2.26,0.96,Day,987.43,651,0.0,0,47.99,Delayed
101,2024-05-29,Plant_B,M1,Float,6.25,1607.76,53.21,1.56,8.51,1.0,Night,1025.69,200,0.0,0,16.34,On-Time
102,2024-01-05,Plant_B,M2,Laminated,2.18,1533.61,112.29,1.47,6.19,0.78,Night,1054.18,747,0.069,1,49.78,Delayed
103,2024-04-04,Plant_A,M3,Laminated,4.06,1581.03,89.85,1.7,9.23,0.83,Day,883.14,247,0.057,1,2.82,On-Time
104,2024-12-07,Plant_A,M1,Float,3.66,1578.52,96.42,1.33,6.43,0.77,Day,889.3,449,0.0,0,21.34,Delayed
105,2024-06-28,Plant_A,M2,Tempered,9.19,1528.7,72.84,3.65,9.43,0.92,Night,714.94,275,0.0,0,15.74,On-Time
106,2024-11-13,Plant_B,M1,Float,7.95,1412.32,34.63,2.99,6.37,0.8,Night,1270.91,950,0.02,1,4.51,Delayed
107,2024-05-13,Plant_A,M3,Float,9.28,1598.75,69.13,1.99,8.37,0.94,Day,1194.7,600,0.0,0,35.41,On-Time
108,2024-01-28,Plant_A,M2,Float,5.61,1497.64,38.24,4.67,2.23,0.99,Day,946.01,971,0.027,1,32.51,On-Time
109,2024-05-24,Plant_B,M2,Laminated,10.73,1540.83,89.29,3.77,8.64,0.77,Night,989.42,365,0.0,0,59.26,Delayed
110,2024-02-27,Plant_B,M4,Tempered,11.44,1530.93,33.55,3.82,9.33,0.75,Day,1067.95,661,0.0,0,2.04,On-Time
111,2024-02-14,Plant_A,M1,Tempered,8.97,1522.33,117.4,4.78,5.27,0.96,Day,1344.55,451,0.0,0,49.73,Delayed
112,2024-06-20,Plant_A,M2,Float,2.37,1489.34,83.66,1.92,2.09,0.72,Day,1196.29,405,0.0,0,43.49,Delayed
113,2024-11-26,Plant_A,M1,Float,2.65,1520.63,101.17,2.28,6.63,0.97,Day,1115.86,373,0.0,0,1.46,On-Time
114,2024-02-16,Plant_A,M2,Tempered,10.7,1403.52,31.91,4.5,5.76,0.98,Night,1298.78,408,0.0,0,21.04,On-Time
115,2024-10-15,Plant_A,M3,Laminated,9.67,1474.51,86.48,4.49,9.86,0.93,Day,917.77,379,0.048,1,44.25,On-Time
116,2024-01-10,Plant_A,M3,Laminated,4.39,1375.77,39.94,2.42,3.59,0.79,Night,733.61,429,0.0,0,1.07,On-Time
117,2024-05-08,Plant_B,M2,Tempered,11.88,1403.32,91.17,1.87,9.55,0.94,Day,589.41,823,0.0,0,52.75,On-Time
118,2024-04-21,Plant_B,M3,Tempered,11.45,1439.63,72.07,3.45,2.5,1.0,Night,731.67,252,0.0,0,38.98,Delayed
119,2024-03-04,Plant_A,M1,Float,8.08,1421.5,45.89,1.88,2.68,0.93,Day,850.13,487,0.0,0,58.15,Delayed
120,2024-02-28,Plant_B,M1,Float,10.84,1503.7,113.5,4.98,2.57,0.82,Day,1258.24,516,0.0,0,9.23,On-Time
121,2024-09-27,Plant_B,M1,Tempered,10.16,1464.74,78.33,3.37,6.22,0.73,Day,1377.46,205,0.0,0,7.77,On-Time
122,2024-11-19,Plant_A,M2,Tempered,10.89,1464.82,116.01,4.45,8.29,0.9,Night,1050.86,923,0.0,0,24.51,On-Time
123,2024-05-28,Plant_B,M4,Float,5.73,1544.21,74.63,1.32,2.98,0.9,Night,576.13,681,0.0,0,29.71,Delayed
124,2024-03-21,Plant_A,M4,Laminated,6.81,1452.47,83.32,4.3,4.13,0.9,Day,1065.73,560,0.0,0,52.72,On-Time
125,2024-12-30,Plant_A,M2,Float,9.97,1546.65,108.06,3.83,8.53,0.91,Day,1180.14,817,0.0,0,45.16,On-Time
126,2024-08-24,Plant_A,M3,Float,3.59,1521.08,109.28,4.49,1.26,0.95,Day,628.87,756,0.0,0,44.61,Delayed
127,2024-06-25,Plant_A,M4,Float,3.61,1520.91,75.67,1.03,3.58,0.89,Night,1481.19,342,0.0,0,15.59,Delayed
128,2024-09-10,Plant_B,M3,Laminated,8.34,1520.02,78.6,4.12,1.96,0.93,Day,1041.27,588,0.097,1,20.51,On-Time
129,2024-07-03,Plant_B,M2,Tempered,8.33,1508.78,36.11,2.2,7.37,0.72,Day,1082.17,394,0.0,0,37.25,On-Time
130,2024-02-23,Plant_A,M1,Tempered,2.46,1520.43,108.44,4.89,9.72,0.92,Night,630.09,839,0.0,0,1.48,Delayed
131,2024-12-23,Plant_A,M2,Laminated,2.22,1493.45,99.34,3.73,5.01,0.78,Night,1497.12,548,0.0,0,27.08,On-Time
132,2024-11-28,Plant_A,M4,Laminated,3.64,1398.24,101.53,3.77,2.99,0.72,Day,1180.5,643,0.0,0,16.4,On-Time
133,2024-06-04,Plant_B,M2,Float,11.51,1488.88,114.93,2.68,6.75,0.82,Day,774.22,589,0.0,0,24.56,Delayed
134,2024-06-29,Plant_B,M1,Laminated,10.94,1442.65,50.7,1.85,1.28,0.9,Night,868.53,940,0.0,0,28.39,On-Time
135,2024-12-21,Plant_A,M1,Laminated,11.68,1513.48,99.89,4.08,8.6,0.93,Night,1126.22,440,0.0,0,1.95,Delayed
136,2024-12-17,Plant_A,M2,Float,11.21,1488.5,85.5,4.19,5.33,0.74,Day,625.19,436,0.072,1,25.82,Delayed
137,2024-03-30,Plant_A,M3,Tempered,4.01,1462.96,82.38,2.08,8.18,0.79,Day,955.22,984,0.0,0,4.35,On-Time
138,2024-06-20,Plant_B,M2,Tempered,5.92,1499.29,73.19,3.4,3.62,0.91,Day,1360.12,843,0.0,0,2.38,On-Time
139,2024-11-04,Plant_A,M1,Laminated,6.81,1486.83,118.8,1.57,5.49,0.89,Night,1202.46,543,0.0,0,0.59,On-Time
140,2024-12-22,Plant_B,M1,Float,5.26,1479.84,76.59,1.35,4.16,0.71,Night,578.58,208,0.046,1,7.96,On-Time
141,2024-02-20,Plant_A,M3,Tempered,7.68,1549.44,48.01,1.67,1.94,0.89,Night,1206.48,802,0.0,0,56.17,Delayed
142,2024-08-02,Plant_A,M3,Tempered,2.52,1531.17,78.72,3.84,8.84,0.91,Day,1301.73,261,0.0,0,48.89,On-Time
143,2024-08-23,Plant_A,M4,Laminated,2.8,1505.73,103.56,2.81,6.79,0.86,Night,1231.59,978,0.0,0,3.62,On-Time
144,2024-06-15,Plant_B,M4,Float,4.47,1547.51,44.36,4.49,2.97,0.99,Day,836.9,358,0.0,0,47.38,On-Time
145,2024-11-23,Plant_B,M3,Laminated,8.59,1648.25,94.73,1.91,9.97,0.99,Day,1150.33,274,0.0,0,40.81,On-Time
146,2024-01-17,Plant_A,M4,Laminated,2.72,1495.17,32.76,2.03,5.16,0.96,Night,1227.17,655,0.077,1,25.53,Delayed
147,2024-09-24,Plant_A,M4,Tempered,5.46,1421.91,95.27,2.95,8.86,0.97,Night,921.72,620,0.0,0,35.54,Delayed
148,2024-12-30,Plant_A,M3,Tempered,11.12,1600.09,48.96,3.49,6.68,0.92,Night,631.57,919,0.0,0,54.54,On-Time
149,2024-09-18,Plant_B,M3,Tempered,3.8,1516.19,74.31,1.99,8.84,0.83,Day,1014.82,478,0.0,0,35.58,On-Time
150,2024-04-16,Plant_B,M1,Tempered,3.64,1485.43,65.2,4.88,3.32,0.9,Night,825.19,332,0.0,0,7.85,Delayed
151,2024-03-09,Plant_B,M1,Laminated,11.7,1422.21,36.61,1.68,5.68,0.8,Night,1328.88,415,0.0,0,14.92,Delayed
152,2024-03-31,Plant_A,M2,Tempered,8.17,1486.38,93.61,1.67,2.51,0.71,Day,1236.4,441,0.0,0,28.48,Delayed
153,2024-06-07,Plant_B,M2,Float,10.44,1518.13,108.14,1.82,2.01,0.78,Night,557.09,810,0.0,0,56.2,On-Time
154,2024-09-12,Plant_A,M1,Tempered,2.39,1564.94,40.99,2.81,9.4,0.79,Night,1007.23,924,0.014,1,8.9,Delayed
155,2024-04-27,Plant_B,M4,Tempered,11.87,1506.97,108.11,2.82,5.64,0.85,Night,1166.86,279,0.0,0,1.8,On-Time
156,2024-12-23,Plant_B,M2,Tempered,5.08,1522.63,93.42,1.81,7.06,0.99,Night,593.9,504,0.0,0,26.63,On-Time
157,2024-11-11,Plant_B,M1,Laminated,10.68,1527.36,105.43,4.78,7.15,0.85,Day,1117.85,738,0.088,1,34.24,Delayed
158,2024-07-01,Plant_A,M4,Laminated,2.3,1454.14,113.79,3.76,7.09,0.76,Night,1158.89,416,0.0,0,39.07,Delayed
159,2024-02-12,Plant_A,M1,Laminated,3.07,1550.26,100.41,3.27,7.65,0.96,Day,904.14,726,0.0,0,40.06,Delayed
160,2024-03-23,Plant_A,M3,Tempered,10.08,1487.38,98.61,4.19,4.92,0.95,Day,620.21,840,0.0,0,0.35,On-Time
161,2024-03-06,Plant_B,M3,Float,5.25,1436.1,92.59,2.55,5.04,0.77,Night,873.25,369,0.0,0,4.39,On-Time
162,2024-10-20,Plant_B,M1,Tempered,8.03,1417.81,90.14,3.48,5.17,0.81,Night,1363.33,970,0.0,0,28.75,On-Time
163,2024-10-21,Plant_B,M2,Tempered,2.26,1442.16,65.89,3.32,5.8,0.88,Day,1264.88,612,0.0,0,43.09,On-Time
164,2024-02-04,Plant_B,M4,Float,11.56,1423.36,31.64,1.78,1.07,0.89,Night,1398.03,344,0.0,0,55.62,Delayed
165,2024-03-21,Plant_B,M2,Float,2.6,1490.56,39.13,2.94,3.31,0.79,Day,807.29,889,0.0,0,32.35,Delayed
166,2024-07-01,Plant_A,M4,Tempered,5.11,1527.65,84.93,3.86,3.45,0.82,Night,621.89,971,0.0,0,40.87,Delayed
167,2024-06-20,Plant_B,M4,Laminated,3.81,1592.33,39.62,3.27,3.31,0.99,Night,983.55,347,0.0,0,33.01,On-Time
168,2024-08-21,Plant_B,M1,Laminated,2.43,1511.11,86.98,4.81,6.41,0.95,Night,1384.21,495,0.0,0,12.72,On-Time
169,2024-06-27,Plant_A,M2,Float,8.11,1557.47,111.0,2.41,3.13,0.93,Day,774.81,790,0.0,0,25.42,Delayed
170,2024-04-21,Plant_B,M4,Laminated,8.68,1484.95,38.6,3.5,5.07,0.88,Day,668.01,724,0.0,0,51.77,Delayed
171,2024-01-06,Plant_A,M2,Float,4.17,1561.23,79.2,1.93,4.52,0.88,Day,996.77,546,0.0,0,8.19,Delayed
172,2024-01-21,Plant_B,M4,Tempered,8.95,1581.17,66.39,2.71,7.46,0.91,Day,1491.26,964,0.0,0,6.25,Delayed
173,2024-10-06,Plant_A,M1,Float,9.24,1418.85,37.15,1.34,9.05,0.76,Day,823.37,911,0.0,0,21.3,Delayed
174,2024-05-03,Plant_A,M2,Tempered,2.69,1528.17,76.72,1.27,8.2,0.77,Day,1040.01,532,0.0,0,39.05,Delayed
175,2024-10-19,Plant_A,M3,Tempered,7.33,1441.37,90.25,4.98,6.96,0.87,Night,1230.65,815,0.052,1,3.61,Delayed
176,2024-04-07,Plant_B,M2,Float,7.62,1438.33,116.19,1.7,7.21,0.76,Day,1035.83,667,0.0,0,27.02,Delayed
177,2024-02-26,Plant_B,M1,Tempered,9.56,1565.7,101.59,4.71,3.11,0.82,Night,652.42,470,0.099,1,55.62,Delayed
178,2024-01-27,Plant_B,M4,Float,7.4,1439.27,105.78,3.08,6.61,0.73,Day,1255.27,939,0.0,0,49.56,On-Time
179,2024-05-11,Plant_B,M4,Float,9.82,1446.47,62.41,1.35,9.43,0.87,Day,805.52,220,0.0,0,26.83,On-Time
180,2024-02-01,Plant_B,M3,Laminated,8.01,1455.51,76.41,4.68,5.47,1.0,Night,1351.42,844,0.0,0,55.84,On-Time
181,2024-12-23,Plant_A,M4,Tempered,3.16,1478.07,109.02,4.47,8.25,0.94,Day,804.68,760,0.0,0,24.18,On-Time
182,2024-12-19,Plant_B,M4,Tempered,3.74,1558.32,92.55,2.38,9.78,0.89,Day,1322.48,635,0.0,0,51.72,Delayed
183,2024-02-22,Plant_A,M1,Tempered,11.23,1623.24,98.83,1.7,5.52,0.82,Night,646.37,970,0.043,1,4.09,On-Time
184,2024-07-09,Plant_A,M4,Laminated,2.26,1484.99,42.16,4.85,5.95,0.99,Day,932.5,605,0.0,0,30.37,Delayed
185,2024-09-21,Plant_B,M2,Tempered,6.4,1514.16,49.44,3.48,6.85,0.75,Day,561.35,274,0.0,0,27.59,On-Time
186,2024-07-23,Plant_B,M4,Tempered,2.58,1460.34,119.54,1.23,7.26,1.0,Day,739.18,899,0.0,0,7.28,Delayed
187,2024-07-13,Plant_B,M1,Tempered,5.03,1515.12,35.61,3.04,9.97,0.94,Night,1115.22,523,0.0,0,37.43,Delayed
188,2024-05-09,Plant_A,M3,Float,7.27,1468.6,68.35,1.52,8.98,0.83,Day,694.62,415,0.0,0,24.85,On-Time
189,2024-04-20,Plant_B,M2,Laminated,10.28,1543.93,30.99,2.66,5.33,0.71,Night,759.81,491,0.0,0,8.23,On-Time
190,2024-12-19,Plant_B,M2,Float,7.35,1538.11,49.37,1.05,3.17,0.99,Day,1301.54,741,0.0,0,29.27,Delayed
191,2024-01-04,Plant_A,M1,Tempered,3.1,1401.99,105.99,1.39,5.39,0.75,Day,824.68,376,0.0,0,28.56,Delayed
