batch_id,production_date,plant_id,machine_id,glass_type,thickness_mm,furnace_temperature_c,cooling_time_sec,pressure_bar,line_speed_mps,raw_material_quality,operator_shift,operator_experience_years,ambient_humidity_pct,furnace_zone,energy_consumption_kwh,produced_units,scrap_units,rework_units,defect_rate,defect_flag,estimated_scrap_cost_eur,packing_delay_min,downtime_min,shipment_status,co2_emissions_kg
11,2024-08-12,Plant_C,M3,Float,6.38,1478.57,62.58,2.86,7.93,0.85,Day,5.4,46.39,Zone_1,405.22,416,4,0,0.012,0,61.53,16.06,5.12,On-Time,166.14
12,2025-02-14,Plant_B,M1,Tempered,9.6,1533.39,69.97,3.44,7.87,0.92,Weekend,7.2,52.99,Zone_3,1122.18,953,5,0,0.009,0,125.21,30.13,25.19,Delayed,460.09
13,2024-11-18,Plant_A,M4,Solar,3.67,1508.56,63.71,4.0,6.14,0.96,Weekend,5.7,51.33,Zone_3,1048.44,876,5,0,0.0076,0,171.2,18.98,15.9,On-Time,429.86
14,2024-09-28,Plant_A,M2,Laminated,13.25,1454.4,89.03,2.78,5.99,0.89,Night,5.9,58.71,Zone_2,667.59,654,4,0,0.0088,0,129.07,18.77,10.26,On-Time,273.71
15,2025-02-12,Plant_B,M2,Tempered,11.71,1521.05,69.25,3.7,7.33,0.84,Day,5.4,68.03,Zone_1,1156.2,998,7,0,0.0114,0,160.59,19.73,0.0,On-Time,474.04
16,2024-04-22,Plant_A,M2,Solar,3.89,1549.42,56.92,3.53,6.5,0.82,Night,5.8,57.79,Zone_2,1173.59,885,7,0,0.0112,0,250.95,23.0,14.43,Delayed,481.17
17,2025-04-24,Plant_C,M3,Float,6.98,1490.06,56.27,2.89,6.16,0.86,Night,5.0,80.9,Zone_1,536.45,538,5,0,0.0106,0,86.57,20.98,0.0,On-Time,219.94
18,2024-09-30,Plant_C,M3,Float,4.36,1495.95,74.0,2.8,6.45,0.96,Day,4.9,41.36,Zone_1,1009.06,1012,6,0,0.0097,0,100.94,9.26,5.19,On-Time,413.71
19,2024-09-26,Plant_C,M2,Float,3.29,1494.46,51.11,2.92,6.41,0.89,Weekend,9.7,37.3,Zone_2,667.43,686,2,0,0.004,0,29.45,19.48,11.96,On-Time,273.65
20,2025-06-03,Plant_C,M2,Tempered,4.75,1552.38,67.81,3.63,6.22,0.86,Day,6.8,61.14,Zone_1,1004.09,766,5,0,0.0092,0,125.88,21.28,13.03,On-Time,411.68
21,2024-01-01,Plant_C,M3,Solar,4.72,1554.99,81.54,3.6,6.04,0.91,Day,8.8,51.21,Zone_2,641.78,426,1,0,0.004,0,32.99,15.53,3.08,On-Time,263.13
22,2024-11-10,Plant_A,M1,Tempered,10.76,1503.31,80.78,3.26,7.09,0.93,Weekend,6.1,41.36,Zone_1,932.74,921,5,0,0.0068,0,114.6,19.29,10.31,On-Time,382.42
23,2025-05-12,Plant_A,M5,Tempered,8.64,1520.97,63.83,3.81,6.9,0.87,Day,8.2,68.73,Zone_2,1198.29,1097,8,1,0.0104,0,212.95,6.87,7.94,On-Time,491.3
24,2024-06-18,Plant_B,M5,Solar,4.72,1526.0,62.56,4.5,5.58,0.95,Weekend,6.5,61.52,Zone_3,687.2,538,5,0,0.0114,0,189.23,29.54,24.88,Delayed,281.75
25,2024-07-24,Plant_C,M3,Solar,5.06,1551.98,82.19,3.73,5.55,0.85,Weekend,1.8,40.39,Zone_3,1547.56,1056,5,0,0.0064,0,156.12,34.02,10.01,Delayed,634.5
26,2025-06-13,Plant_B,M1,Tempered,10.22,1486.18,88.54,4.0,5.52,0.87,Day,6.5,54.98,Zone_2,960.35,956,118,37,0.152,1,2846.44,13.93,16.76,Delayed,393.74
27,2024-08-23,Plant_C,M2,Float,3.41,1440.58,72.48,3.03,9.11,0.79,Day,7.8,43.64,Zone_3,903.34,1110,132,44,0.1539,1,2172.3,27.15,32.92,Delayed,370.37
28,2024-03-10,Plant_A,M3,Float,7.51,1525.18,52.54,2.29,6.43,0.8,Day,5.3,62.59,Zone_2,484.78,473,37,11,0.1376,1,568.09,13.18,30.37,Delayed,198.76
29,2024-08-07,Plant_C,M2,Solar,3.4,1587.06,85.09,3.04,4.9,0.89,Day,8.8,45.32,Zone_2,1304.37,816,8,0,0.0103,0,302.84,22.48,0.0,Delayed,534.79
30,2024-07-13,Plant_A,M1,Solar,5.53,1527.48,66.93,4.17,5.71,0.91,Day,6.6,49.52,Zone_2,672.17,563,2,0,0.0048,0,72.52,5.99,8.0,On-Time,275.59
31,2024-02-25,Plant_C,M1,Float,3.23,1420.48,73.59,2.5,7.48,0.85,Day,12.1,74.06,Zone_2,795.1,1087,10,0,0.0102,0,166.41,16.89,6.32,On-Time,325.99
32,2024-04-21,Plant_A,M2,Tempered,8.44,1522.53,75.26,3.23,6.18,0.9,Night,6.0,78.61,Zone_1,659.71,596,5,0,0.0113,0,121.01,14.43,13.3,On-Time,270.48
33,2024-10-12,Plant_B,M2,Float,4.64,1462.3,44.88,2.85,6.51,0.91,Day,4.4,39.2,Zone_3,528.79,620,47,13,0.0852,1,733.89,22.59,23.7,Delayed,216.8
34,2024-01-16,Plant_A,M2,Tempered,6.78,1518.12,74.77,3.21,5.91,0.85,Day,3.9,58.29,Zone_2,738.96,677,2,0,0.004,0,51.71,5.32,5.33,On-Time,302.97
35,2025-02-14,Plant_A,M2,Solar,5.24,1518.33,65.34,3.48,5.93,0.83,Day,9.5,73.96,Zone_2,1216.12,1012,3,0,0.0043,0,92.48,12.65,8.83,On-Time,498.61
36,2025-04-10,Plant_B,M4,Solar,5.6,1518.27,55.78,3.07,6.12,0.9,Day,3.7,58.49,Zone_2,1150.62,887,84,22,0.1146,1,2939.12,19.13,20.46,Delayed,471.75
37,2024-02-29,Plant_C,M5,Float,6.73,1474.18,52.78,2.53,7.3,0.93,Night,9.0,57.77,Zone_1,1016.27,1124,47,19,0.0578,1,828.57,41.47,26.04,Delayed,416.67
38,2025-05-03,Plant_C,M5,Tempered,4.04,1536.81,81.75,3.57,7.31,0.89,Day,10.4,73.56,Zone_3,1374.78,1106,3,0,0.0047,0,66.62,13.34,0.0,On-Time,563.66
39,2024-07-09,Plant_A,M5,Float,6.05,1491.05,47.87,1.97,7.67,0.88,Night,4.9,47.94,Zone_1,1018.27,1156,9,1,0.0119,0,153.68,7.7,16.01,On-Time,417.49
40,2024-09-09,Plant_C,M5,Float,5.98,1442.62,55.26,2.3,9.05,0.9,Night,3.5,43.34,Zone_2,834.44,1030,117,23,0.1375,1,2020.27,31.85,23.09,Delayed,342.12
41,2025-06-19,Plant_B,M3,Tempered,9.32,1482.42,87.46,3.54,5.78,0.88,Night,7.7,53.72,Zone_2,848.79,815,73,19,0.119,1,1602.48,16.81,29.12,Delayed,348.0
42,2025-02-09,Plant_A,M3,Solar,3.69,1479.64,63.98,4.24,6.3,0.87,Day,7.6,63.18,Zone_1,986.28,923,87,26,0.157,1,2684.02,15.75,24.98,Delayed,404.37
43,2024-04-12,Plant_A,M5,Tempered,8.56,1527.54,67.66,3.53,7.31,0.9,Day,4.3,65.07,Zone_1,555.55,503,3,0,0.0067,0,76.14,23.89,13.98,Delayed,227.78
44,2024-03-11,Plant_A,M3,Laminated,10.79,1471.09,79.06,2.84,4.71,0.95,Day,7.0,72.43,Zone_3,999.95,904,3,0,0.004,0,79.62,14.95,2.38,On-Time,409.98
45,2024-01-09,Plant_C,M5,Laminated,6.62,1503.2,68.38,2.91,6.54,0.82,Weekend,2.4,60.23,Zone_1,1143.72,884,2,0,0.004,0,63.94,11.44,19.11,On-Time,468.93
46,2024-05-17,Plant_B,M1,Float,4.73,1518.94,59.18,2.29,7.21,0.83,Night,4.5,63.97,Zone_1,973.1,983,74,24,0.1003,1,1087.83,23.44,23.39,Delayed,398.97
47,2024-08-03,Plant_C,M3,Tempered,11.97,1593.61,57.48,3.42,6.76,0.89,Night,4.5,44.47,Zone_2,1250.31,839,98,23,0.1539,1,2393.35,47.97,26.41,Delayed,512.63
48,2024-09-14,Plant_A,M1,Solar,4.44,1565.02,55.71,3.69,5.87,0.92,Night,4.4,45.56,Zone_1,888.64,658,26,11,0.0641,1,838.77,26.77,24.46,Delayed,364.34
49,2024-05-13,Plant_C,M3,Tempered,5.85,1539.17,61.61,3.35,6.5,0.86,Night,4.3,69.52,Zone_3,692.1,533,5,0,0.0103,0,116.55,13.87,9.35,On-Time,283.76
50,2024-01-10,Plant_A,M1,Tempered,4.7,1546.99,86.38,3.69,5.56,0.93,Night,6.7,60.39,Zone_2,1248.22,1068,4,0,0.0053,0,95.05,5.55,15.54,On-Time,511.77
51,2024-05-31,Plant_B,M2,Float,5.76,1452.42,78.04,2.39,8.46,0.94,Day,6.4,59.5,Zone_1,444.42,539,3,0,0.0076,0,50.01,6.71,0.0,On-Time,182.21
52,2024-08-03,Plant_C,M2,Float,5.11,1521.27,73.26,3.04,7.74,0.88,Day,9.5,47.02,Zone_3,863.78,821,5,0,0.0095,0,84.89,6.85,0.61,On-Time,354.15
53,2025-02-20,Plant_C,M2,Tempered,6.01,1534.83,76.21,4.27,7.29,0.95,Weekend,3.7,53.87,Zone_1,1001.9,805,2,0,0.0047,0,50.82,26.76,18.95,Delayed,410.78
54,2024-01-26,Plant_A,M3,Solar,4.83,1527.19,86.35,3.91,4.84,0.82,Night,4.5,53.23,Zone_3,863.73,682,2,0,0.004,0,62.79,11.34,17.9,On-Time,354.13
55,2024-09-30,Plant_A,M1,Solar,3.23,1529.23,76.78,4.37,6.14,0.95,Weekend,3.6,45.79,Zone_2,1241.48,1017,2,0,0.004,0,69.0,26.36,17.98,Delayed,509.01
56,2025-04-16,Plant_B,M3,Tempered,4.69,1559.26,81.79,3.66,6.45,0.96,Day,8.8,68.45,Zone_3,909.53,685,6,0,0.0094,0,130.68,14.76,10.91,On-Time,372.91
57,2024-12-02,Plant_B,M1,Laminated,11.58,1520.83,103.7,3.02,7.18,0.95,Day,6.3,46.18,Zone_3,1274.27,971,7,0,0.0088,0,222.22,29.5,0.87,Delayed,522.45
58,2024-12-05,Plant_A,M1,Laminated,10.24,1451.24,85.76,2.61,6.75,0.99,Day,7.6,50.45,Zone_2,1018.1,1034,66,35,0.1144,1,2058.95,21.83,24.28,Delayed,417.42
59,2025-03-20,Plant_B,M3,Solar,5.99,1570.91,66.47,3.44,5.68,0.94,Night,5.5,57.62,Zone_3,1182.65,783,37,9,0.0656,1,1295.24,37.91,27.73,Delayed,484.89
60,2024-07-13,Plant_B,M1,Solar,3.83,1538.61,56.48,3.36,7.55,0.86,Day,8.3,53.87,Zone_3,1039.33,789,6,0,0.0115,0,206.61,25.9,13.0,Delayed,426.13
61,2024-07-20,Plant_B,M4,Float,4.15,1479.61,49.08,2.37,7.92,0.87,Weekend,4.4,48.48,Zone_2,437.95,452,5,0,0.012,0,72.61,30.58,22.27,Delayed,179.56
62,2024-05-07,Plant_C,M3,Laminated,13.16,1514.07,77.6,3.53,4.67,0.85,Night,4.7,68.52,Zone_2,1106.51,805,2,0,0.004,0,58.53,17.05,16.3,On-Time,453.67
63,2024-10-29,Plant_C,M2,Tempered,4.65,1552.28,57.82,3.0,7.33,0.71,Day,4.6,50.85,Zone_2,1331.41,1016,99,31,0.1145,1,2266.62,30.76,26.61,Delayed,545.88
64,2024-06-27,Plant_C,M5,Laminated,7.26,1506.78,70.74,2.74,6.8,0.9,Day,5.1,56.95,Zone_1,1329.6,1015,6,0,0.0108,0,185.06,8.49,3.78,On-Time,545.14
65,2024-08-03,Plant_B,M5,Laminated,7.29,1520.2,82.84,3.25,4.14,0.93,Day,3.2,48.06,Zone_2,863.46,654,2,0,0.0064,0,52.44,6.58,3.65,On-Time,354.02
66,2025-06-07,Plant_B,M2,Float,5.16,1483.27,48.82,3.02,8.43,0.86,Day,7.6,63.26,Zone_3,755.99,828,5,0,0.0082,0,85.35,13.57,2.65,On-Time,309.96
67,2024-12-09,Plant_A,M2,Laminated,6.2,1531.44,90.75,3.08,5.35,0.84,Day,1.7,53.04,Zone_1,808.61,616,54,11,0.1074,1,1704.78,22.61,22.59,Delayed,331.53
68,2024-02-17,Plant_A,M4,Float,7.82,1469.44,53.85,3.19,6.61,0.96,Day,8.4,66.68,Zone_3,810.72,940,5,0,0.0081,0,73.6,2.85,3.49,On-Time,332.4
69,2025-01-28,Plant_B,M4,Tempered,5.23,1566.78,55.66,2.46,6.68,0.92,Day,5.9,70.85,Zone_3,1202.32,884,64,27,0.1271,1,1487.28,22.2,25.04,Delayed,492.95
70,2024-04-19,Plant_B,M2,Tempered,7.64,1521.05,77.2,2.48,5.73,0.93,Night,5.7,61.53,Zone_3,959.26,828,2,0,0.004,0,46.85,15.13,2.16,On-Time,393.3
71,2024-02-21,Plant_C,M2,Float,6.88,1519.51,45.14,2.63,8.64,0.81,Day,4.1,70.66,Zone_2,565.33,540,1,0,0.0045,0,17.47,21.41,16.87,On-Time,231.79
72,2024-11-20,Plant_B,M5,Solar,5.14,1531.25,81.33,4.11,4.94,0.9,Night,6.9,45.55,Zone_3,1244.74,952,2,0,0.004,0,70.93,31.19,14.9,Delayed,510.34
73,2024-06-11,Plant_C,M4,Solar,4.44,1515.73,68.93,4.1,6.14,0.87,Day,8.8,62.32,Zone_1,620.61,458,3,0,0.0089,0,111.28,2.88,4.46,On-Time,254.45
74,2024-10-10,Plant_C,M4,Tempered,9.82,1526.37,67.8,4.0,5.55,0.89,Day,8.8,52.31,Zone_1,1112.91,893,6,0,0.0085,0,141.76,3.69,0.67,On-Time,456.29
75,2024-08-28,Plant_B,M3,Laminated,9.73,1500.23,94.92,3.34,5.03,0.97,Weekend,7.6,45.4,Zone_1,886.64,690,5,0,0.0107,0,146.92,30.01,13.06,Delayed,363.52
76,2024-08-24,Plant_B,M2,Tempered,6.87,1505.58,69.47,3.52,7.66,0.93,Day,3.8,51.16,Zone_2,1217.5,1105,9,0,0.0117,0,233.79,11.78,0.0,On-Time,499.17
77,2025-04-22,Plant_B,M1,Tempered,7.45,1545.28,81.15,2.87,5.69,0.93,Night,7.5,74.47,Zone_2,1274.73,1042,6,0,0.007,0,160.86,18.07,7.9,On-Time,522.64
78,2024-01-21,Plant_C,M4,Solar,3.37,1522.78,58.48,3.94,4.58,0.89,Day,4.5,54.31,Zone_2,866.93,634,43,12,0.0773,1,1481.64,35.32,19.2,Delayed,355.44
79,2025-02-03,Plant_B,M5,Tempered,7.91,1511.84,56.11,3.55,5.83,0.84,Day,7.9,63.84,Zone_2,874.06,786,4,0,0.0051,0,91.56,11.7,5.38,On-Time,358.36
80,2024-01-30,Plant_B,M3,Solar,5.49,1552.21,56.07,3.89,6.46,0.9,Night,6.5,66.45,Zone_2,890.43,619,2,0,0.0044,0,65.52,19.59,8.99,On-Time,365.08
81,2024-01-28,Plant_B,M5,Float,3.55,1517.91,77.18,2.86,7.53,0.93,Day,5.6,52.21,Zone_2,892.06,891,2,0,0.004,0,31.54,9.52,15.57,On-Time,365.74
82,2025-04-17,Plant_A,M1,Laminated,9.59,1482.94,70.23,2.6,4.54,0.99,Day,8.7,63.4,Zone_1,514.62,478,3,0,0.0079,0,87.42,6.2,0.0,On-Time,210.99
83,2024-12-11,Plant_B,M3,Solar,4.18,1579.74,77.76,3.82,5.79,0.88,Day,9.3,51.6,Zone_1,712.52,455,2,0,0.004,0,65.04,5.38,5.8,On-Time,292.13
84,2024-02-23,Plant_B,M2,Float,4.42,1512.36,62.49,2.37,7.07,0.97,Night,6.5,61.8,Zone_3,768.29,771,36,12,0.0547,1,618.94,24.26,21.51,Delayed,315.0
85,2024-02-01,Plant_A,M2,Float,3.93,1473.84,45.31,2.9,8.62,0.93,Night,0.5,63.29,Zone_1,576.31,684,2,0,0.0051,0,35.14,14.16,17.9,On-Time,236.29
86,2024-04-27,Plant_C,M2,Solar,4.06,1566.44,61.89,3.43,6.79,0.97,Night,3.0,68.08,Zone_2,1332.61,883,41,15,0.0579,1,1261.85,33.45,23.89,Delayed,546.37
87,2024-04-27,Plant_A,M3,Float,6.21,1498.21,50.81,3.44,7.03,0.91,Night,10.5,61.82,Zone_2,760.87,815,5,0,0.007,0,82.62,12.4,17.26,On-Time,311.96
88,2025-01-19,Plant_B,M2,Float,4.69,1494.72,52.07,2.7,8.09,0.81,Night,8.3,50.55,Zone_3,935.48,989,8,0,0.0105,0,131.89,21.79,2.93,On-Time,383.55
89,2024-11-04,Plant_C,M5,Float,6.4,1491.58,49.23,2.02,6.34,0.81,Night,1.9,44.25,Zone_3,526.22,556,2,0,0.004,0,30.21,16.54,14.23,On-Time,215.75
90,2024-12-21,Plant_C,M4,Laminated,10.29,1514.55,94.03,2.76,4.72,0.93,Day,7.8,46.44,Zone_3,1243.8,898,7,0,0.0096,0,194.18,15.65,2.11,On-Time,509.96
91,2025-03-06,Plant_B,M1,Solar,5.36,1550.56,70.25,4.08,5.4,0.86,Weekend,2.2,57.48,Zone_3,1273.5,928,4,0,0.0057,0,149.91,41.17,16.33,Delayed,522.13
92,2025-04-15,Plant_C,M2,Solar,4.49,1551.8,65.7,3.66,6.93,0.89,Day,7.2,63.63,Zone_3,731.56,506,2,0,0.0059,0,69.8,17.44,10.27,On-Time,299.94
93,2024-10-03,Plant_C,M5,Solar,4.44,1570.07,57.01,3.09,7.05,0.85,Day,8.5,37.22,Zone_3,1505.75,994,3,0,0.0051,0,112.81,8.82,7.45,On-Time,617.36
94,2024-11-26,Plant_A,M1,Laminated,13.01,1512.97,60.01,2.93,4.37,0.83,Weekend,7.6,54.68,Zone_1,1051.18,866,3,0,0.004,0,80.62,13.84,10.62,On-Time,430.98
95,2025-01-23,Plant_B,M1,Solar,3.91,1550.65,54.24,3.46,6.34,0.81,Weekend,6.8,63.01,Zone_1,946.34,694,5,0,0.0095,0,172.65,29.64,6.36,Delayed,388.0
96,2024-12-29,Plant_B,M3,Laminated,9.85,1502.06,103.37,2.66,4.6,0.88,Weekend,2.5,57.1,Zone_3,1110.22,863,3,0,0.0042,0,80.4,26.92,13.91,Delayed,455.19
97,2024-01-11,Plant_C,M2,Float,5.74,1523.32,45.73,2.54,7.61,0.86,Day,4.6,56.41,Zone_2,931.18,880,6,0,0.0107,0,103.48,17.24,8.79,On-Time,381.78
98,2024-09-03,Plant_C,M4,Solar,3.23,1557.15,61.11,3.64,6.23,0.88,Day,9.4,37.66,Zone_1,730.69,477,4,0,0.011,0,123.54,13.3,2.37,On-Time,299.58
99,2024-08-14,Plant_B,M2,Laminated,11.97,1535.05,64.74,3.32,4.18,0.77,Night,5.2,47.4,Zone_2,1203.65,863,61,15,0.1159,1,1889.58,27.39,26.7,Delayed,493.5
100,2024-12-18,Plant_B,M5,Laminated,8.12,1524.36,77.19,3.6,4.71,0.9,Day,4.5,56.18,Zone_2,1087.94,812,5,0,0.0073,0,134.14,4.48,5.56,On-Time,446.06
101,2024-09-14,Plant_A,M1,Tempered,7.89,1517.9,77.81,3.72,5.66,0.87,Day,6.9,47.64,Zone_3,1267.54,1185,9,0,0.0115,0,225.09,6.39,7.26,On-Time,519.69
102,2024-07-08,Plant_A,M2,Solar,3.86,1536.69,82.47,3.8,7.04,0.95,Day,4.7,60.61,Zone_3,1063.48,834,4,0,0.008,0,130.46,3.87,12.75,On-Time,436.03
103,2025-06-21,Plant_C,M3,Float,5.7,1485.12,68.04,2.72,6.15,0.88,Night,6.0,54.79,Zone_2,671.35,689,4,0,0.0079,0,67.3,10.71,14.39,On-Time,275.25
104,2024-07-02,Plant_B,M1,Tempered,10.99,1559.37,60.92,3.66,6.58,0.88,Day,4.6,51.18,Zone_1,569.94,458,4,0,0.0097,0,97.78,20.44,0.08,On-Time,233.68
105,2024-05-09,Plant_C,M4,Float,5.62,1502.08,73.64,2.69,5.73,0.92,Weekend,6.6,71.97,Zone_3,496.86,469,5,0,0.0109,0,87.6,26.73,24.36,Delayed,203.71
106,2025-05-05,Plant_B,M3,Tempered,8.74,1499.8,80.74,2.73,4.71,0.81,Weekend,7.6,62.56,Zone_2,1009.85,916,5,0,0.0095,0,120.85,23.16,12.53,Delayed,414.04
107,2025-05-04,Plant_A,M1,Solar,4.8,1523.26,63.6,3.72,6.69,0.93,Day,4.7,69.31,Zone_3,580.83,496,2,0,0.007,0,64.5,4.38,0.94,On-Time,238.14
108,2024-02-24,Plant_A,M2,Laminated,10.79,1501.18,78.96,3.32,5.9,0.89,Day,7.1,72.43,Zone_1,633.76,529,5,0,0.0097,0,135.77,8.19,8.14,On-Time,259.84
109,2025-03-02,Plant_C,M5,Tempered,9.6,1574.11,80.81,4.04,7.63,0.86,Night,6.0,62.13,Zone_2,666.91,486,57,17,0.1461,1,1233.32,35.98,25.6,Delayed,273.43
110,2025-03-29,Plant_B,M5,Solar,3.17,1533.78,66.36,3.57,7.11,0.87,Day,6.5,73.3,Zone_3,1099.42,835,39,6,0.0565,1,1211.68,23.8,16.84,Delayed,450.76
111,2024-04-11,Plant_A,M2,Laminated,13.25,1499.24,78.5,2.67,5.07,0.92,Night,5.0,71.99,Zone_1,1076.37,904,8,0,0.0105,0,216.2,14.67,13.45,On-Time,441.31
112,2024-03-17,Plant_A,M1,Solar,5.18,1517.74,63.11,3.3,7.52,0.87,Day,6.1,70.43,Zone_3,1447.78,1228,4,0,0.004,0,138.66,4.9,7.06,On-Time,593.59
113,2024-02-03,Plant_A,M3,Laminated,6.65,1473.41,67.46,1.99,6.51,0.93,Night,6.8,48.0,Zone_2,1206.78,1086,101,17,0.1129,1,3147.73,26.75,25.43,Delayed,494.78
114,2024-08-27,Plant_B,M5,Tempered,7.98,1549.53,75.16,3.26,7.13,0.91,Day,4.7,41.15,Zone_3,1019.28,815,5,0,0.0071,0,122.22,13.41,11.3,On-Time,417.9
115,2024-06-01,Plant_B,M2,Float,5.49,1497.57,73.24,2.31,7.28,0.9,Day,3.3,66.84,Zone_2,560.99,588,2,0,0.0055,0,32.73,17.44,0.0,On-Time,230.01
116,2024-10-22,Plant_B,M1,Solar,3.5,1509.56,84.3,4.19,5.42,0.99,Night,5.2,42.38,Zone_3,1335.45,1109,117,38,0.1183,1,3859.96,28.67,27.04,Delayed,547.53
117,2024-10-05,Plant_C,M5,Solar,5.97,1526.73,78.11,3.68,5.57,0.84,Day,7.3,38.43,Zone_3,844.46,639,32,15,0.0873,1,1175.25,26.64,22.03,Delayed,346.23
118,2025-03-18,Plant_C,M3,Laminated,10.33,1494.86,81.2,3.53,6.17,0.77,Day,5.2,75.39,Zone_1,1144.76,885,4,0,0.0077,0,115.12,12.4,7.46,On-Time,469.35
119,2024-01-22,Plant_C,M3,Float,7.53,1479.75,65.32,2.83,7.16,0.96,Night,5.9,62.38,Zone_1,670.65,700,2,0,0.0041,0,30.03,22.28,8.21,Delayed,274.97
120,2025-03-28,Plant_B,M2,Solar,5.57,1556.91,62.05,3.52,6.33,0.9,Night,9.1,61.96,Zone_2,929.73,652,4,0,0.0099,0,146.56,20.53,9.81,On-Time,381.19
121,2025-04-26,Plant_B,M4,Laminated,6.47,1517.21,99.34,3.38,3.8,0.87,Day,4.0,58.96,Zone_1,1174.96,865,5,0,0.0079,0,131.84,5.11,4.87,On-Time,481.73
122,2024-12-03,Plant_B,M4,Laminated,11.92,1506.12,98.63,3.26,4.58,0.9,Night,5.5,54.5,Zone_2,1144.41,871,5,0,0.0087,0,156.8,18.98,0.8,On-Time,469.21
123,2024-02-07,Plant_B,M1,Laminated,6.59,1527.4,86.95,2.76,4.52,0.83,Day,3.7,70.34,Zone_1,1215.1,909,3,0,0.004,0,79.52,20.38,6.42,On-Time,498.19
124,2025-02-17,Plant_C,M1,Solar,5.49,1529.6,55.38,3.79,7.42,0.93,Day,7.6,65.7,Zone_1,1034.45,785,4,0,0.0093,0,132.6,12.23,0.0,On-Time,424.12
125,2025-05-25,Plant_C,M4,Float,3.82,1528.51,66.31,2.5,7.63,0.86,Day,5.4,57.45,Zone_3,817.94,734,55,10,0.0967,1,883.47,17.2,15.55,Delayed,335.36
126,2024-10-21,Plant_B,M4,Float,3.23,1481.56,78.92,2.34,6.64,0.82,Day,6.3,33.83,Zone_3,945.4,1008,7,0,0.0078,0,107.82,14.75,7.79,On-Time,387.61
127,2024-09-02,Plant_C,M2,Laminated,9.7,1485.08,77.86,2.98,4.21,0.92,Night,3.5,48.55,Zone_3,1254.18,1019,7,0,0.0076,0,200.32,16.44,8.61,On-Time,514.21
128,2024-08-18,Plant_A,M4,Float,5.11,1495.29,69.13,2.53,7.43,0.96,Night,3.6,46.23,Zone_1,997.75,1074,3,0,0.004,0,47.62,9.84,5.67,On-Time,409.08
129,2024-10-25,Plant_C,M3,Solar,5.25,1561.26,76.07,3.64,6.17,0.94,Night,1.0,44.45,Zone_2,1430.92,949,3,0,0.0045,0,114.04,25.36,18.69,Delayed,586.68
130,2024-05-28,Plant_B,M2,Tempered,10.56,1537.97,71.61,4.12,5.14,0.93,Weekend,4.4,58.67,Zone_2,859.26,704,4,0,0.0104,0,88.04,29.86,12.22,Delayed,352.3
131,2025-02-28,Plant_B,M5,Laminated,10.34,1516.77,70.18,3.5,5.23,0.99,Night,1.8,63.89,Zone_2,654.91,503,3,0,0.0082,0,85.47,28.91,17.2,Delayed,268.51
132,2025-05-16,Plant_A,M4,Solar,3.5,1505.67,84.04,3.62,5.19,0.98,Day,9.6,60.96,Zone_3,655.01,543,3,0,0.0084,0,104.82,10.44,13.33,On-Time,268.55
